index;title;year;rating;votes;runtime;genre;Awards
410;The Hobbit: An Unexpected Journey;2012;8,1;435346;169;Adventure;1
411;WALL\302\267E;2008;8,5;476249;98;Animation;0
412;Harry Potter and the Deathly Hallows: Part 1;2010;7,7;234235;146;Adventure;0
413;Taken;2008;7,9;364292;93;Action;1
414;Tropic Thunder;2008;7;239115;107;Action;0
415;Salt;2010;6,4;190682;100;Action;0
416;The Amazing Spider-Man;2012;7,2;293750;136;Action;0
417;Robin Hood;2010;6,7;167266;140;Action;1
418;You Don't Mess with the Zohan;2008;5,5;121668;113;Action;0
419;Hugo;2011;7,6;189943;126;Adventure;0
420;17 Again;2009;6,4;104297;102;Comedy;1
421;Sucker Punch;2011;6,1;158207;110;Action;1
422;The Adventures of Tintin;2011;7,4;139438;107;Animation;1
423;Machete;2010;6,7;137848;105;Action;1
424;Surrogates;2009;6,3;128003;89;Action;1
425;Sherlock Holmes;2009;7,6;346449;128;Action;0
426;The Green Hornet;2011;5,9;112103;119;Action;1
427;Hanna;2011;6,8;130829;111;Action;0
428;He's Just Not That Into You;2009;6,4;103062;129;Comedy;0
429;Megamind;2010;7,3;121511;95;Animation;0
430;Zack and Miri Make a Porno;2008;6,7;126619;101;Comedy;1
431;Knight and Day;2010;6,3;112854;109;Action;0
432;Fast & Furious;2009;6,6;133319;107;Action;1
433;Alice in Wonderland;2010;6,5;227332;108;Adventure;1
434;(500) Days of Summer;2009;7,8;273790;95;Comedy;1
435;Death Proof;2007;7,1;162116;113;Action;1
436;RocknRolla;2008;7,3;154522;114;Action;1
437;The Descendants;2011;7,4;163685;115;Comedy;0
438;What Happens in Vegas;2008;6,1;109552;99;Comedy;1
439;The Book of Eli;2010;6,9;169539;118;Action;1
440;The Proposal;2009;6,7;156129;108;Comedy;1
441;Silver Linings Playbook;2012;7,9;354215;122;Comedy;0
442;G.I. Joe: The Rise of Cobra;2009;5,8;141426;118;Action;0
443;Up;2009;8,3;425485;96;Animation;1
444;The Imaginarium of Doctor Parnassus;2009;6,9;104363;123;Adventure;1
445;Transformers: Revenge of the Fallen;2009;6;238240;150;Action;0
446;Eagle Eye;2008;6,6;126202;118;Action;1
447;Cloverfield;2008;7,1;233016;85;Action;0
448;Yes Man;2008;6,9;213775;104;Comedy;0
449;Skyfall;2012;7,8;376186;143;Action;0
450;Planet Terror;2007;7,3;136725;105;Action;1
451;Dark Shadows;2012;6,3;147346;113;Comedy;1
452;Ice Age: Dawn of the Dinosaurs;2009;7,1;112581;94;Animation;0
453;Adventureland;2009;6,8;106482;107;Comedy;1
454;Paul;2011;7,1;145230;104;Adventure;0
455;TRON: Legacy;2010;6,9;208730;125;Action;1
456;The Taking of Pelham 1 2 3;2009;6,4;113426;106;Action;1
457;The Hangover;2009;7,8;424794;100;Comedy;1
458;Green Lantern;2011;5,7;169039;114;Action;0
459;District 9;2009;8;415390;112;Action;1
460;The Ugly Truth;2009;6,5;117119;96;Comedy;1
461;I Love You, Man;2009;7,1;136399;105;Comedy;0
462;Zombieland;2009;7,8;275243;88;Comedy;0
463;The Hobbit: The Desolation of Smaug;2013;8,1;249443;161;Adventure;0
464;2012;2009;5,8;211022;158;Action;1
465;Rango;2011;7,3;134510;107;Animation;0
466;The Bourne Legacy;2012;6,7;165213;135;Action;0
467;Harry Potter and the Deathly Hallows: Part 2;2011;8,1;344216;130;Adventure;0
468;The Lone Ranger;2013;6,6;116599;149;Action;0
469;Brave;2012;7,2;165044;93;Animation;0
470;Battle Los Angeles;2011;5,8;131354;116;Action;0
471;Resident Evil: Afterlife;2010;5,9;105347;97;Action;1
472;Ip Man;2008;8,1;101020;106;Action;1
473;Get Him to the Greek;2010;6,4;122105;109;Comedy;0
474;Iron Man 2;2010;7,1;337808;124;Action;1
475;Mission: Impossible - Ghost Protocol;2011;7,4;266646;133;Action;1
476;Due Date;2010;6,6;215748;95;Comedy;1
477;Hot Tub Time Machine;2010;6,5;110486;101;Adventure;1
